179,CHAMPAGNE GUY CHARBAUT,51160;Ay-Champagne
180,SOCIETE DES GRANDS VINS DE CHAMPAGNE LABRUYERE,51360;Verzenay
181,CHAMPAGNE VOLLEREAUX,51530;Pierry
182,SOCIETE GENERALE DE CHAMPAGNE,51160;Ay-Champagne
183,CHAMPAGNE EDOUARD BRUN ET CIE,51160;Ay-Champagne
184,SOCIETE A.S.,51190;Le Mesnil-sur-Oger
185,CHAMPAGNE GAIDOZ-FORGET,51500;Ludes
186,SARL JEAN DIOT,51530;Vinay
187,PRESSOIR GARITAN,51500;Mailly-champagne
188,CHAMPAGNE A.R. LENOBLE,51480;Damery
189,CHAMPAGNE JEAN MOUTARDIER,51210;Le Breuil
190,A. DEMILLY,51150;Ay-Champagne
191,SARL DIEBOLT-VALLOIS,51530;Cramant
192,SARL Champagne Jean-Paul DEVILLE,51380;Verzy
193,CHAMPAGNE P. LOUIS MARTIN,51150;Bouzy
194,CHAMPAGNE CARBON,51160;Champillon
195,LOMBARD & MEDOT,51200;Epernay
196,SELECTION ET DIFFUSION CHAMPAGNE-SEDI CHAMPAGNE,51000;Châlons-en-Champagne
197,CLOS MARGOT,51130;Vertus
198,CHAMPAGNE JEAN NOEL HATON,51480;Damery
199,LES GRANDS NOIRS,51360;Verzenay
200,CHAMPAGNE MANSARD BAILLET,51200;Epernay
201,CHAMPAGNE MANUEL JANISSON,51360;Verzenay
202,CHAMPAGNE PRIN PERE ET FILS,51190;Avize
203,Veuve FOURNY ET Fils,51130;Vertus
204,CHAMPAGNE J. DUMANGIN FILS,51500;Chigny-les-Roses
205,CHAMPAGNE DUMENIL-REBEYROLLE,51500;Chigny-les-Roses
206,CHAMPENOISE DE BAGNAJA,51688;Reims
207,BLONDEL Thierry,51500;Ludes
208,O. LAMIABLE,51150;Tours-sur-Marne
209,GUERITTE PRESSURAGE,51120;Fontaine Denis Nuisy
210,PRESSOIR REMY DEUTZ ROEDERER ASSOCIES,51150;Bouzy
211,Pressoir Jean GAUDICHAU,51260;La Celle-sous-Chantemerle
212,SOCIETE LE ROI SOLEIL,51190;Avize
213,S.A.R.L. REMY Bernard et Fils,51120;Allemant
214,HURE,51500;Ludes
215,SOCIETE A RESPONSABILITE LIMITEE LES COTES DE CHAMPAGNE,51300;Bassuet
216,CHAMPAGNE PHILIPPE DUMONT,51500;Chigny-les-Roses
217,FRANCK JANISSON,51500;Chigny-les-Roses
218,SOCIETE VITICOLE CHAMPENOISE,51200;Epernay
219,Bertrand WARIS ET FILLES,51190;Avize
220,PRESSOIR JEANNE D'ARC,51480;Boursault
221,SICA DU PETIT LUQUIS,51200;Epernay
222,CVS,51200;Epernay
223,SOCIETE A RESPONSABILITE LIMITEE PRESSOIR DU MAZIN,51300;Saint-Amand-sur-Fion
224,SARL THEVENET DELOUVIN,51700;Passy-Grigny
225,CHAMPAGNE LAHERTE FRERES,51530;Chavot-Courcourt
226,PRESSOIR SECONDE SIMON,51150;Ambonnay
227,Boll & Cie,51065;Reims
228,ROGGE Jacques,51700;Passy-Grigny
229,VINI'REFLEX,51360;Verzenay
230,SOCIETE VITICOLE LEGRAS - NOEL,51530;Chouilly
231,PRESSOIRS BEAUCHAMP,51390;Janvry
232,PRESSOIR BREMONT BERNARD,51150;Ambonnay
233,Promenades du Couchant,51120;Barbonne-Fayel
234,Bernard LONCLAS & Filles,51300;Bassuet
235,SARL DU MARQUIS,51130;Vertus
236,E.U.R.L. PASCAL L'HOSTE,51300;Bassuet
237,CHAMPAGNE A.DESMOULINS ET CIE,51200;Epernay
238,MANSARD & FILS,51200;Epernay
239,PRESSOIRS LALOUELLE,51530;Saint-Martin-d'ablois
240,DABOT Jean Philippe Bernard Maurice,51530;MOUSSY
241,SARL PRESSOIR G.BEURTON ET FILS,51480;Cuchery
242,PRESSOIR LALLEMENT DECORTE,51480;Fleury-la-Rivière
243,MOINEAU Bernard René Gaetan Paul,51100;REIMS
244,SAINTOT Colette Louise,51160;Ay-Champagne
245,TATTEGRAIN CHAMPAGNISATION,51700;Troissy
246,PRESSOIR BUSIN,51500;Ludes
