1,ROBELIN PERE ET FILS,30420&nbsp;Calvisson
83,SOCIETE COOPERATIVE AGRICOLE INTERCOMMUNALE DU PONT DU GARD,30210&nbsp;Vers-Pont-du-Gard
84,LES VIGNERONS DU MALGOIRES,30190&nbsp;Saint-Geniès-de-Malgoirès
85,LES MAITRES VIGNERONS COSTIERES ET GARRIGUES,30600&nbsp;Vauvert
86,LES VIGNERONS D'ELEINS,30350&nbsp;Moulézan
87,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS BEAUCAIROIS,30300&nbsp;Beaucaire
88,DARDON CLAUDE GABRIEL HENRI,30350&nbsp;AIGREMONT
89,INDIV GUILLOT J-PHILIPPE ET LAURENT,30740&nbsp;LE CAILAR
90,ALIBERT MARIE-JOSE,30200&nbsp;SAINT ETIENNE DES SORTS
91,ASSOCIATION LES VIGNERONS DU SALAVES,30250&nbsp;SOMMIERES
92,TEULLE PATRICK,30170&nbsp;DURFORT ST MARTIN SOSSENAC
